ISO,Metric,Scenario,Period,Value_Low,Value_Median,Value_High
ATF,tas_annual,ssp2-45,End of century 2080-2099,55.0147973653226,55.8663513183592,56.6485686997853
ATG,tas_annual,ssp2-45,Historical 1986-2005,78.4300629093739,78.8631979161574,78.977319639888
ATG,tas_annual,ssp2-45,Next decades 2020-2039,79.7820034176043,80.1811670778333,80.556686761973
ATG,tas_annual,ssp2-45,Midcentury 2040-2059,80.2066119389463,80.6772064991118,81.291479317472
ATG,tas_annual,ssp2-45,End of century 2080-2099,80.7842808172233,81.5323802983668,82.7087987464723
AUS,tas_annual,ssp2-45,Historical 1986-2005,61.4736050871829,61.7165824148983,61.8933308344577
AUS,tas_annual,ssp2-45,Next decades 2020-2039,62.378229334004,62.810444452022,63.158482707782
AUS,tas_annual,ssp2-45,Midcentury 2040-2059,62.7818516904437,63.5740316048621,64.0315370195074
AUS,tas_annual,ssp2-45,End of century 2080-2099,63.4691582676796,64.3581327078319,65.3769983445549
AUT,tas_annual,ssp2-45,Historical 1986-2005,44.091879867072,44.8569213040092,45.6352796578519
AUT,tas_annual,ssp2-45,Next decades 2020-2039,46.8049892781777,47.2391704838934,48.8319809228687
AUT,tas_annual,ssp2-45,Midcentury 2040-2059,47.5241497928522,48.1106953029747,50.0052367576075
AUT,tas_annual,ssp2-45,End of century 2080-2099,48.1239316177823,49.477716993091,51.396439706839
AZE,tas_annual,ssp2-45,Historical 1986-2005,52.4511129525681,52.9747565927658,53.5062795387839
AZE,tas_annual,ssp2-45,Next decades 2020-2039,54.5988090686542,55.6844645043531,56.574034387658
AZE,tas_annual,ssp2-45,Midcentury 2040-2059,55.3427296895909,56.3010775980906,57.1904989724541
AZE,tas_annual,ssp2-45,End of century 2080-2099,56.264168375543,58.0326069251808,59.6128642428808
BDI,tas_annual,ssp2-45,Historical 1986-2005,69.0666930474411,69.2630200535325,69.544563583183
BDI,tas_annual,ssp2-45,Next decades 2020-2039,70.4779169381189,70.8178599789552,71.2020060585022
BDI,tas_annual,ssp2-45,Midcentury 2040-2059,71.1857044833065,71.63321744122,72.4066384138645
BDI,tas_annual,ssp2-45,End of century 2080-2099,71.7580084724813,72.7862033194112,73.9544588210172
BEL,tas_annual,ssp2-45,Historical 1986-2005,49.2734435033294,50.075250301663,50.5692888583958
BEL,tas_annual,ssp2-45,Next decades 2020-2039,51.0289252129118,51.9648839502581,53.2197610117255
BEL,tas_annual,ssp2-45,Midcentury 2040-2059,51.9149369276484,52.5364245887337,54.301234851374
BEL,tas_annual,ssp2-45,End of century 2080-2099,52.1298064035942,53.6545187515989,55.6266031114411
BEN,tas_annual,ssp2-45,Historical 1986-2005,80.9997008978578,81.1524300792678,81.4912586359917
